feature,importance
FractionCSP3,0.23139993135881226
NumAromaticRings,0.13204028875168392
BertzCT,0.10906926051276755
NumHAcceptors,0.053441841230739306
MolLogP,0.043986937906073866
BalabanJ,0.04302190362628131
RingCount,0.03628051855092719
NumHDonors,0.035660431072490666
NumRotatableBonds,0.035585539779846034
N_count,0.03451071777432876
TPSA,0.0334005585067835
H_count,0.03136786692918179
O_count,0.030141465719248015
C_count,0.029259121604461927
LabuteASA,0.023818551663400682
MolWt,0.023503432606158618
S_count,0.02308358367845326
HeavyAtomCount,0.02244503203878012
F_count,0.01478259702494499
Cl_count,0.013200419664636094
Br_count,0.0
I_count,0.0
